Date,2022,Quality
2022/01/01,81.004,140
2022/01/02,156.923,140
2022/01/03,229.864,140
2022/01/04,302.181,140
2022/01/05,377.286,140
2022/01/06,835.777,140
2022/01/07,1765.339,140
2022/01/08,3459.8999999999996,140
2022/01/09,4383.499,140
2022/01/10,4957.96,140
2022/01/11,5607.918,140
2022/01/12,8213.349999999999,140
2022/01/13,9690.744999999999,140
2022/01/14,10728.135999999999,140
2022/01/15,11556.826,140
2022/01/16,12152.347,140
2022/01/17,12631.6,140
2022/01/18,13025.627,140
2022/01/19,13367.848,140
2022/01/20,13661.568,140
2022/01/21,13918.659,140
2022/01/22,14145.030999999999,140
2022/01/23,14345.503999999999,140
2022/01/24,14524.523,140
2022/01/25,14685.751999999999,140
2022/01/26,14830.238999999998,140
2022/01/27,14959.455999999998,140
2022/01/28,15075.461999999998,140
2022/01/29,15494.108999999999,140
2022/01/30,16141.21,140
2022/01/31,16546.904,140
2022/02/01,16854.661,140
2022/02/02,17112.573,145
2022/02/03,17328.536,145
2022/02/04,17529.111,145
2022/02/05,17746.695,145
2022/02/06,17945.56,145
2022/02/07,18130.543,145
2022/02/08,18312.186,145
2022/02/09,18473.031000000003,145
2022/02/10,18655.917,145
2022/02/11,19112.159,145
2022/02/12,19445.806,145
2022/02/13,19730.586,145
2022/02/14,19958.358,145
2022/02/15,20148.006,145
2022/02/16,20310.416,145
2022/02/17,20454.649,145
2022/02/18,20585.976000000002,145
2022/02/19,20707.732000000004,145
2022/02/20,20814.821000000004,145
2022/02/21,20913.972000000005,145
2022/02/22,21015.936000000005,145
2022/02/23,21266.505000000005,145
2022/02/24,22369.975000000006,145
2022/02/25,26754.549000000006,145
2022/02/26,31587.222000000005,145
2022/02/27,35332.808000000005,145
2022/02/28,37458.217000000004,145
2022/03/01,40585.816000000006,145
2022/03/02,48634.25400000001,145
2022/03/03,57877.626000000004,145
2022/03/04,63478.006,145
2022/03/05,66457.227,145
2022/03/06,70545.435,145
2022/03/07,76386.877,145
2022/03/08,83060.69499999999,145
2022/03/09,87512.783,140
2022/03/10,89674.51299999999,140
2022/03/11,91000.772,140
2022/03/12,91932.636,140
2022/03/13,92627.091,140
2022/03/14,93171.008,140
2022/03/15,93646.51,140
2022/03/16,94052.155,140
2022/03/17,94438.996,140
2022/03/18,94792.385,140
2022/03/19,95143.14499999999,140
2022/03/20,95442.17399999998,140
2022/03/21,95704.22199999998,140
2022/03/22,95936.84199999998,140
2022/03/23,96147.77399999998,140
2022/03/24,96340.19799999997,140
2022/03/25,96525.99699999997,140
2022/03/26,96715.75299999997,140
2022/03/27,96903.48199999997,140
2022/03/28,97092.25799999997,140
2022/03/29,97264.22699999997,140
2022/03/30,97432.55099999996,140
2022/03/31,97592.64099999996,140
2022/04/01,97743.11199999996,140
2022/04/02,97885.28399999997,140
2022/04/03,98027.53599999996,140
2022/04/04,98154.11299999997,140
2022/04/05,98271.98499999997,140
2022/04/06,98412.16799999998,140
2022/04/07,99956.02499999998,140
2022/04/08,104318.79899999998,140
2022/04/09,109229.61899999998,140
2022/04/10,111642.98199999997,140
2022/04/11,113227.67699999998,255
